   BENCHMARK INFORMATION
benchmark definition:    wit4java.xml
name:                    wit4java
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:06:05 BST
tool:                    wit4java 2.0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/sv-benchmarks/java/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
jpf-regression/ExSymExeSuzette_false.yml                                                unknown                          5.74        3.03        None
jpf-regression/ExSymExeSwitch_false.yml                                                 false                            5.95        3.13        None
jpf-regression/ExSymExeTestAssignments_false.yml                                        false                            6.06        3.20        None
jpf-regression/ExSymExeTestClassFields_false.yml                                        unknown                          5.82        3.29        None
jpf-regression/ExSymExe_false.yml                                                       false                            5.96        3.12        None
jpf-regression/TestLazy_false.yml                                                       unknown                          5.62        3.07        None
java-ranger-regression/TCAS_prop1.yml                                                   unknown                          5.64        2.98        None
java-ranger-regression/WBS/WBS_prop1.yml                                                unknown                          5.87        3.08        None
java-ranger-regression/WBS/WBS_prop3.yml                                                unknown                          5.85        2.95        None
java-ranger-regression/WBS/WBS_prop4.yml                                                unknown                          6.08        3.08        None
java-ranger-regression/siena_eqchk/siena_prop2.yml                                      false                            7.09        3.15        None
java-ranger-regression/replace5_eqchk/replace5_prop2.yml                                false                            6.60        3.04        None
java-ranger-regression/nanoxml_eqchk/nanoxml_prop2.yml                                  unknown                          6.72        3.14        None
