   BENCHMARK INFORMATION
benchmark definition:    wit4java3-gdart.xml
name:                    wit4java3-gdart
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:46:01 BST
tool:                    wit4java 2.0
Exception: 0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/gdart/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
MinePump/spec1-5_product13.yml                                                          false                            3.34        1.68        None
MinePump/spec1-5_product14.yml                                                          false                            3.12        1.69        None
MinePump/spec1-5_product15.yml                                                          false                            3.41        1.65        None
MinePump/spec1-5_product16.yml                                                          false                            3.50        1.70        None
MinePump/spec1-5_product17.yml                                                          false                            3.13        1.63        None
MinePump/spec1-5_product18.yml                                                          false                            3.29        1.65        None
MinePump/spec1-5_product19.yml                                                          false                            3.15        1.67        None
MinePump/spec1-5_product2.yml                                                           false                            2.97        1.52        None
MinePump/spec1-5_product20.yml                                                          false                            3.32        1.71        None
MinePump/spec1-5_product21.yml                                                          false                            3.17        1.59        None
MinePump/spec1-5_product22.yml                                                          false                            3.27        1.67        None
MinePump/spec1-5_product23.yml                                                          false                            3.16        1.67        None
MinePump/spec1-5_product24.yml                                                          false                            3.24        1.69        None
MinePump/spec1-5_product25.yml                                                          false                            3.36        1.60        None
MinePump/spec1-5_product26.yml                                                          false                            3.53        1.70        None
MinePump/spec1-5_product27.yml                                                          false                            3.28        1.67        None
MinePump/spec1-5_product28.yml                                                          false                            3.17        2.05        None
MinePump/spec1-5_product29.yml                                                          false                            3.35        2.38        None
MinePump/spec1-5_product3.yml                                                           false                            3.46        1.76        None
MinePump/spec1-5_product30.yml                                                          false                            3.38        1.69        None
MinePump/spec1-5_product31.yml                                                          false                            3.19        1.63        None
MinePump/spec1-5_product32.yml                                                          false                            3.74        1.81        None
MinePump/spec1-5_product33.yml                                                          false                            3.15        1.66        None
MinePump/spec1-5_product34.yml                                                          false                            3.51        1.75        None
MinePump/spec1-5_product35.yml                                                          false                            3.38        1.65        None
MinePump/spec1-5_product36.yml                                                          false                            3.48        1.66        None
MinePump/spec1-5_product37.yml                                                          false                            3.41        1.71        None
MinePump/spec1-5_product38.yml                                                          false                            3.44        1.73        None
MinePump/spec1-5_product39.yml                                                          false                            3.24        1.66        None
MinePump/spec1-5_product4.yml                                                           false                            3.34        1.65        None
MinePump/spec1-5_product40.yml                                                          false                            3.38        1.70        None
MinePump/spec1-5_product41.yml                                                          false                            3.32        1.72        None
MinePump/spec1-5_product42.yml                                                          false                            3.15        1.67        None
MinePump/spec1-5_product43.yml                                                          false                            3.38        1.65        None
MinePump/spec1-5_product44.yml                                                          false                            3.35        1.65        None
MinePump/spec1-5_product45.yml                                                          true                             3.26        1.70        None
MinePump/spec1-5_product46.yml                                                          true                             3.25        1.67        None
MinePump/spec1-5_product47.yml                                                          true                             3.29        1.73        None
MinePump/spec1-5_product48.yml                                                          true                             3.41        1.72        None
MinePump/spec1-5_product49.yml                                                          false                            3.17        1.59        None
MinePump/spec1-5_product5.yml                                                           false                            3.34        1.68        None
MinePump/spec1-5_product50.yml                                                          false                            3.29        1.69        None
MinePump/spec1-5_product51.yml                                                          false                            3.25        1.62        None
MinePump/spec1-5_product52.yml                                                          false                            3.30        1.62        None
MinePump/spec1-5_product53.yml                                                          false                            3.37        1.70        None
MinePump/spec1-5_product54.yml                                                          false                            3.33        1.68        None
MinePump/spec1-5_product55.yml                                                          false                            3.34        1.61        None
MinePump/spec1-5_product56.yml                                                          false                            3.40        1.62        None
MinePump/spec1-5_product6.yml                                                           false                            3.29        1.66        None
MinePump/spec1-5_product7.yml                                                           false                            3.31        1.69        None
MinePump/spec1-5_product8.yml                                                           false                            3.38        1.64        None
MinePump/spec1-5_product9.yml                                                           false                            3.33        1.70        None
algorithms/BellmanFord-FunSat02.yml                                                     false                            2.88        1.62        None
algorithms/BellmanFord-FunUnsat01.yml                                                   false                            2.95        1.58        None
algorithms/BellmanFord-FunUnsat02.yml                                                   false                            3.05        1.65        None
algorithms/BellmanFord-MemUnsat01.yml                                                   false                            2.95        1.65        None
algorithms/BellmanFord-MemUnsat02.yml                                                   false                            2.80        1.63        None
algorithms/BinaryTreeSearch-FunUnsat01.yml                                              false                            2.87        1.62        None
algorithms/BinaryTreeSearch-MemUnsat01.yml                                              false                            2.84        1.62        None
algorithms/BinaryTreeSearch-MemUnsat02.yml                                              false                            2.95        1.63        None
algorithms/InsertionSort-FunUnsat01.yml                                                 false                            3.16        1.71        None
algorithms/InsertionSort-MemUnsat01.yml                                                 false                            2.77        1.58        None
algorithms/MergeSortIterative-FunUnsat01.yml                                            false                            3.00        1.68        None
